"file","row","header","expected_value","actual_value","explicit_checkpoint_exists","mismatch_type"
"acs-nmcb-1.csv",1,"O_6_mouse","mouse",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_6_HANDEDNESS","handedness",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_7_typetest_element","typetest",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_8_clickskills_element","clickskills",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_9_dragskills_element","dragskills",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_9_dragskills_element","dragskills",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_41_questionnaire1","questionnaire",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_41_questionnaire1","questionnaire",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_14_wordlist","wordslist",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_14_wordlist","wordslist",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_42_message_break","message-break",,FALSE,"missing"
"acs-nmcb-1.csv",7,"O_42_message_break","message-break",,FALSE,"missing"
"acs-nmcb-1.csv",1,"O_27_digitspan_element1","digitspan",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_27_digitspan_element1","digitspan",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_27_DIGITS_FW_DEMO","forward-demo",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_27_DIGITS_FW_DEMO","forward-demo",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_28_digitspan_element2","digitspan",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_28_digitspan_element2","digitspan",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_28_DIGITS_FW","forward",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_28_DIGITS_FW","forward",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_29_digitspan_element3","digitspan",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_29_digitspan_element3","digitspan",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_29_DIGITS_BW_DEMO","reverse-demo",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_29_DIGITS_BW_DEMO","reverse-demo",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_30_digitspan_element4","digitspan",,FALSE,"missing"
"acs-nmcb-1.csv",7,"O_30_digitspan_element4","digitspan",,FALSE,"missing"
"acs-nmcb-1.csv",1,"O_30_DIGITS_BW","reverse",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_30_DIGITS_BW","reverse",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_43_message_break","message-break",,FALSE,"missing"
"acs-nmcb-1.csv",7,"O_43_message_break","message-break",,FALSE,"missing"
"acs-nmcb-1.csv",1,"O_44_questionnaire2","questionnaire",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_44_questionnaire2","questionnaire",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_45_questionnaire3","questionnaire",,FALSE,"missing"
"acs-nmcb-1.csv",7,"O_45_questionnaire3","questionnaire",,FALSE,"missing"
"acs-nmcb-1.csv",1,"O_45_questionnaire_ntli1","questionnaire-ntli",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_45_questionnaire_ntli1","questionnaire-ntli",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_48_questionnaire4","questionnaire",,FALSE,"missing"
"acs-nmcb-1.csv",7,"O_48_questionnaire4","questionnaire",,FALSE,"missing"
"acs-nmcb-1.csv",23,"O_48_questionnaire4","questionnaire",,FALSE,"missing"
"acs-nmcb-1.csv",1,"O_49_message_break","message-break",,FALSE,"missing"
"acs-nmcb-1.csv",7,"O_49_message_break","message-break",,FALSE,"missing"
"acs-nmcb-1.csv",23,"O_49_message_break","message-break",,FALSE,"missing"
"acs-nmcb-1.csv",1,"O_50_message_break","message-break",,TRUE,"missing"
"acs-nmcb-1.csv",7,"O_50_message_break","message-break",,TRUE,"missing"
"acs-nmcb-1.csv",23,"O_50_message_break","message-break",,TRUE,"missing"
"acs-nmcb-1.csv",1,"O_51_questionnaire5","questionnaire",,FALSE,"missing"
"acs-nmcb-1.csv",7,"O_51_questionnaire5","questionnaire",,FALSE,"missing"
"acs-nmcb-1.csv",23,"O_51_questionnaire5","questionnaire",,FALSE,"missing"
"acs-nmcb-1.csv",1,"O_52_questionnaire6","questionnaire",,FALSE,"missing"
