"file","row","header","expected_value","deleted_count","deleted_content"
"acs-nmcb-1.csv",41,"O_34_MOUSETYPE","mousetype",0,
"acs-nmcb-1.csv",42,"O_34_MOUSETYPE","mousetype",0,
"acs-nmcb-1.csv",43,"O_34_MOUSETYPE","mousetype",0,
"acs-nmcb-2.csv",3,"O_50_message","message",2,"12 || 2"
"acs-nmcb-2.csv",3,"O_51_questionnaire5","questionnaire",35,"questionnaire-current_state2 || 12022026 || 11:36.50 || 11:37.25 || 35613 || 1 || Hoe voelt u zich OP DIT MOMENT: UITGEPUT? || 87 || 2 || Hoe voelt u zich OP DIT MOMENT: VERMOEID? || 96 || 3 || Hoe voelt u zich OP DIT MOMENT: SLAPERIG? || 93 || 4 || Hoe voelt u zich OP DIT MOMENT: VOL ENERGIE? || 8 || 5 || Hoe voelt u zich OP DIT MOMENT: GESTRESSED OF GESPANNEN? || 9 || 6 || Hoe voelt u zich OP DIT MOMENT: IK KAN MIJ GOED CONCENTREREN? || 82 || 7 || Hoe voelt u zich OP DIT MOMENT: MIJN DENKEN GAAT TRAAG? || 10 || 8 || Hoe voelt u zich OP DIT MOMENT: HELDER VAN GEEST? || 83 || 9 || Hoe voelt u zich OP DIT MOMENT: GEMOTIVEERD? || 86 || 10 || Hoe voelt u zich OP DIT MOMENT: NEERSLACHTIG OF SOMBER? || 7"
"acs-nmcb-2.csv",3,"O_52_questionnaire6","questionnaire",0,
"acs-nmcb-2.csv",3,"O_52_questionnaire_ntli2","questionnaire-ntli",0,
"acs-nmcb-2.csv",4,"O_50_message","message",2,"9 || 5"
"acs-nmcb-2.csv",4,"O_51_questionnaire5","questionnaire",35,"questionnaire-current_state2 || 17022026 || 16:09.49 || 16:10.29 || 40518 || 1 || Hoe voelt u zich OP DIT MOMENT: UITGEPUT? || 2 || 2 || Hoe voelt u zich OP DIT MOMENT: VERMOEID? || 1 || 3 || Hoe voelt u zich OP DIT MOMENT: SLAPERIG? || 3 || 4 || Hoe voelt u zich OP DIT MOMENT: VOL ENERGIE? || 85 || 5 || Hoe voelt u zich OP DIT MOMENT: GESTRESSED OF GESPANNEN? || 0 || 6 || Hoe voelt u zich OP DIT MOMENT: IK KAN MIJ GOED CONCENTREREN? || 86 || 7 || Hoe voelt u zich OP DIT MOMENT: MIJN DENKEN GAAT TRAAG? || 3 || 8 || Hoe voelt u zich OP DIT MOMENT: HELDER VAN GEEST? || 90 || 9 || Hoe voelt u zich OP DIT MOMENT: GEMOTIVEERD? || 90 || 10 || Hoe voelt u zich OP DIT MOMENT: NEERSLACHTIG OF SOMBER? || 0"
"acs-nmcb-2.csv",4,"O_52_questionnaire6","questionnaire",0,
"acs-nmcb-2.csv",4,"O_52_questionnaire_ntli2","questionnaire-ntli",0,
"acs-nmcb-2.csv",5,"O_50_message","message",2,"12 || 4"
"acs-nmcb-2.csv",5,"O_51_questionnaire5","questionnaire",35,"questionnaire-current_state2 || 20022026 || 18:40.24 || 18:41.51 || 87227 || 1 || Hoe voelt u zich OP DIT MOMENT: UITGEPUT? || 72 || 2 || Hoe voelt u zich OP DIT MOMENT: VERMOEID? || 86 || 3 || Hoe voelt u zich OP DIT MOMENT: SLAPERIG? || 72 || 4 || Hoe voelt u zich OP DIT MOMENT: VOL ENERGIE? || 39 || 5 || Hoe voelt u zich OP DIT MOMENT: GESTRESSED OF GESPANNEN? || 0 || 6 || Hoe voelt u zich OP DIT MOMENT: IK KAN MIJ GOED CONCENTREREN? || 27 || 7 || Hoe voelt u zich OP DIT MOMENT: MIJN DENKEN GAAT TRAAG? || 26 || 8 || Hoe voelt u zich OP DIT MOMENT: HELDER VAN GEEST? || 36 || 9 || Hoe voelt u zich OP DIT MOMENT: GEMOTIVEERD? || 100 || 10 || Hoe voelt u zich OP DIT MOMENT: NEERSLACHTIG OF SOMBER? || 0"
"acs-nmcb-2.csv",6,"O_50_message","message",2,"15 || 3"
